"CITY","SEX","AGEATB","DOSE","TIME","INDEX","PYR","ALLDEATH","ALLDIS","ALLNEO","ALLMAL","LEUK","NONLEUK","DIGEST","ESOPH","STOMACH","COLON","RECTUM","LIVER","GALLBLDR","PANCREAS","OTHRDIG","RESP","LUNG","FBREAST","FGENITAL","CERVIX","OVARY","PROSTATE","URINARY","LYMPHOMA","MYELOMA","OTHRCA"
0,0,15,52.42,64,12,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,15,52.42,68,13,2.5146,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,15,52.42,72,14,2.3958,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,15,52.42,76,15,2.2698,4,4,3,3,0,3,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,15,52.42,80,16,2.1514,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,0,52,17,59.8474,35,29,4,4,1,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,27,0,56,18,55.0992,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,0,60,19,54.3319,27,21,4,4,0,4,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
0,0,27,0,64,20,53.1077,36,33,9,9,1,8,6,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,27,0,68,21,51.3563,51,47,15,14,0,14,8,1,5,1,0,0,0,1,0,2,1,0,0,0,0,1,0,1,0,2
0,0,27,0,72,22,49.0534,66,60,20,18,2,16,11,0,10,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,3
0,0,27,0,76,23,46.1619,78,76,27,27,1,26,15,0,9,1,2,2,0,0,1,2,2,0,0,0,0,0,0,0,0,9
0,0,27,0,80,24,42.7414,81,80,32,30,2,28,15,3,7,0,3,1,0,1,0,5,5,0,0,0,0,0,0,1,0,7
0,0,27,0.33,52,17,39.4489,21,19,3,3,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,27,0.33,56,18,36.347,22,19,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,0.33,60,19,35.4485,19,12,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,0.33,64,20,34.5843,28,23,8,8,0,8,5,0,3,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1
0,0,27,0.33,68,21,33.3815,28,27,9,9,0,9,7,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
0,0,27,0.33,72,22,32.3291,23,21,7,7,0,7,5,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,27,0.33,76,23,31.1706,39,37,19,18,1,17,14,3,6,0,2,0,0,1,2,2,2,0,0,0,0,0,0,0,0,1
0,0,27,0.33,80,24,29.3541,51,51,20,18,1,17,11,2,7,0,0,0,2,0,0,4,4,0,0,0,0,0,0,1,0,1
0,0,27,2.21,52,17,22.4045,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,2.21,56,18,20.4051,12,9,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,2.21,60,19,20.0933,9,8,4,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,27,2.21,64,20,19.4761,20,17,6,6,0,6,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
0,0,27,2.21,68,21,18.7177,17,13,5,5,0,5,3,0,2,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0
0,0,27,2.21,72,22,18.1358,14,13,4,4,0,4,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,27,2.21,76,23,17.2542,28,28,9,9,1,8,6,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0,27,2.21,80,24,15.8642,35,32,14,14,0,14,10,0,4,1,2,0,0,3,0,1,1,0,0,0,0,0,0,0,0,3
0,0,27,7.03,52,17,5.3994,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,7.03,56,18,4.9296,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,7.03,60,19,4.797,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,7.03,64,20,4.6447,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,7.03,68,21,4.5158,5,4,2,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,27,7.03,72,22,4.2573,6,6,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,27,7.03,76,23,4.0125,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,7.03,80,24,3.7783,10,10,2,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,27,13.9,52,17,4.5142,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,13.9,56,18,4.165,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,13.9,60,19,4.0101,5,4,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,13.9,64,20,3.8895,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,13.9,68,21,3.8318,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,27,13.9,72,22,3.6667,5,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,27,13.9,76,23,3.506,5,5,2,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
0,0,27,13.9,80,24,3.2443,5,5,2,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,27,24.35,52,17,2.1095,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,24.35,56,18,1.9428,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,24.35,60,19,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,24.35,64,20,1.9033,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,24.35,68,21,1.8399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,24.35,72,22,1.7987,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,27,24.35,76,23,1.6865,2,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,27,24.35,80,24,1.5655,3,3,2,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,27,34.64,52,17,1.0738,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,34.64,56,18,0.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,34.64,60,19,0.9604,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,34.64,64,20,0.9599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,34.64,68,21,0.9601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,34.64,72,22,0.9587,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,34.64,76,23,0.8791,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,34.64,80,24,0.7427,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
